"Route","Departing_Port","Arriving_Port","Airline","Month","Year","Month_Number","Month_Name","Analysis_Level","Sectors_Scheduled","Sectors_Flown","Cancellations","Departures_On_Time","Arrivals_On_Time","Departures_Delayed","Arrivals_Delayed","OnTime_Departures_Percent","OnTime_Arrivals_Percent","Cancellations_Percent"
"Adelaide-Brisbane","Adelaide","Brisbane","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",30,27,3,18,19,9,8,66.6666666666667,70.3703703703704,10
"Adelaide-Gold Coast","Adelaide","Gold Coast","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",31,30,1,15,14,15,16,50,46.6666666666667,3.2258064516129
"Adelaide-Melbourne","Adelaide","Melbourne","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",119,106,13,61,66,45,40,57.5471698113208,62.2641509433962,10.9243697478992
"Adelaide-Perth","Adelaide","Perth","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",21,20,1,11,16,9,4,55,80,4.76190476190476
"Adelaide-Sydney","Adelaide","Sydney","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",91,87,4,69,69,18,18,79.3103448275862,79.3103448275862,4.3956043956044
"Ayers Rock-Sydney","Ayers Rock","Sydney","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",27,27,0,15,14,12,13,55.5555555555556,51.8518518518518,0
"Ballina-Sydney","Ballina","Sydney","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",108,108,0,70,76,38,32,64.8148148148148,70.3703703703704,0
"Brisbane-Adelaide","Brisbane","Adelaide","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",30,29,1,19,21,10,8,65.5172413793103,72.4137931034483,3.33333333333333
"Brisbane-Cairns","Brisbane","Cairns","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",104,104,0,70,84,34,20,67.3076923076923,80.7692307692308,0
"Brisbane-Darwin","Brisbane","Darwin","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",25,25,0,23,24,2,1,92,96,0
"Brisbane-Hobart","Brisbane","Hobart","Jetstar",2020-01-01,2020,1,"Jan","Airline Route",43,43,0,39,38,4,5,90.6976744186046,88.3720930232558,0
