Lead_ID,Created_Date,Owner,Region,Raw_Source,Product_Code,Industry,Company_Size,Deal_Stage,Last_Stage_Date,Close_Date,Expected_Value_USD,Discount_Pct,Stage_Probability,Lost_Reason,Funnel_Level
L00001,2025-05-14,Ha Vo,North,Google Organic,CS-CLOUD,Education,SMB,Negotiation,2026-05-26,,25800.0,0,0.85,,5
L00002,2026-05-08,Quynh Vu,North,Google Ads,CRM-CORE,Education,Mid-Market,Proposal,2026-08-03,,9200.0,0.05,0.65,,4
L00003,2026-05-22,Chi Le,South,newsletter,CRM-PRO,Retail,SMB,Closed Lost,2026-07-01,2026-07-01,23300.0,0,0.0,Competitor,3
L00004,2025-02-09,Bao Tran,South,SEM - Google,CRM-PRO,Education,SMB,Closed Lost,2025-02-28,2025-02-28,17700.0,0,0.0,Competitor,2
L00005,2025-03-23,Chi Le,South,Google Organic,REV-OPS,Education,Mid-Market,Closed Lost,2025-05-09,2025-05-09,40300.0,0,0.0,Competitor,4
L00006,2026-07-21,An Nguyen,South,linkedin,MKT-AUTO,Healthcare,SMB,Qualified,2026-08-20,,10400.0,0.05,0.2,,2
L00007,2025-10-22,Chi Le,South,Webinar,CRM-CORE,Manufacturing,Mid-Market,Closed Won,2025-11-16,2025-11-16,16700.0,0,1.0,,6
L00008,2025-04-15,Quynh Vu,North,SEM - Google,MKT-AUTO,Manufacturing,Mid-Market,Closed Lost,2025-05-09,2025-05-09,33600.0,0,0.0,No Decision,4
L00009,2025-05-26,Quynh Vu,North,Webinar,CS-CLOUD,Education,Mid-Market,Closed Lost,2025-07-05,2025-07-05,23100.0,0,0.0,Price,3
L00010,2025-10-20,Ha Vo,North,organic search,CS-CLOUD,Healthcare,Enterprise,Negotiation,2026-02-17,,65200.0,0.03,0.85,,5
L00011,2026-03-20,Tuan Bui,Central,Unknown Event,CS-CLOUD,Education,Mid-Market,Closed Won,2026-05-09,2026-05-09,42000.0,0.12,1.0,,6
L00012,2025-01-20,Duy Pham,South,organic search,MKT-AUTO,Education,SMB,Closed Lost,2025-02-28,2025-02-28,15700.0,0,0.0,Competitor,5
L00013,2025-02-27,An Nguyen,South,virtual event,CS-CLOUD,Education,Mid-Market,Closed Lost,2025-04-11,2025-04-11,34400.0,0,0.0,Price,3
L00014,2025-02-08,Bao Tran,South,Webinar,CRM-CORE,Financial Services,SMB,Negotiation,2026-05-30,,4800.0,0.05,0.85,,5
L00015,2025-10-25,Quynh Vu,North,LI Ads,CRM-CORE,Education,Mid-Market,Closed Lost,2025-11-26,2025-11-26,13400.0,0,0.0,No Decision,2
L00016,2026-02-04,Tuan Bui,Central,Cold Email,CRM-PRO,Professional Services,SMB,Closed Lost,2026-03-20,2026-03-20,23800.0,0,0.0,Competitor,4
L00017,2025-08-28,Chi Le,South,Webinar,CRM-CORE,Retail,SMB,Negotiation,2026-04-23,,7500.0,0,0.85,,5
