CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2009-12,1.0,0.35288,0.334031,0.425131,0.380105,0.359162,0.376963,0.342408,0.336126,0.362304,0.42199,0.495288,0.375916,0.282723,0.243979,0.302618,0.262827,0.302618,0.282723,0.259686,0.255497,0.315183,0.304712,0.40733,0.196859
2010-01,1.0,0.206266,0.310705,0.305483,0.263708,0.300261,0.258486,0.229765,0.279373,0.318538,0.302872,0.172324,0.221932,0.177546,0.18799,0.151436,0.234987,0.198433,0.185379,0.195822,0.24282,0.193211,0.245431,0.057441,0.0
2010-02,1.0,0.237968,0.224599,0.291444,0.245989,0.200535,0.192513,0.286096,0.254011,0.275401,0.114973,0.125668,0.152406,0.173797,0.122995,0.200535,0.160428,0.163102,0.144385,0.229947,0.229947,0.163102,0.058824,0.0,0.0
2010-03,1.0,0.189616,0.230248,0.241535,0.232506,0.20316,0.24605,0.302483,0.275395,0.108352,0.115124,0.142212,0.200903,0.162528,0.200903,0.1693,0.173815,0.155756,0.176072,0.200903,0.21219,0.079007,0.0,0.0,0.0
2010-04,1.0,0.193878,0.193878,0.163265,0.183673,0.22449,0.27551,0.261905,0.105442,0.108844,0.07483,0.139456,0.139456,0.156463,0.156463,0.156463,0.139456,0.14966,0.180272,0.22449,0.057823,0.0,0.0,0.0,0.0
2010-05,1.0,0.15748,0.169291,0.173228,0.177165,0.255906,0.212598,0.125984,0.059055,0.082677,0.114173,0.133858,0.153543,0.153543,0.098425,0.125984,0.137795,0.165354,0.153543,0.047244,0.0,0.0,0.0,0.0,0.0
2010-06,1.0,0.174074,0.188889,0.203704,0.22963,0.285185,0.125926,0.088889,0.081481,0.118519,0.107407,0.137037,0.148148,0.122222,0.111111,0.122222,0.133333,0.203704,0.051852,0.0,0.0,0.0,0.0,0.0,0.0
2010-07,1.0,0.155914,0.182796,0.295699,0.290323,0.139785,0.112903,0.145161,0.145161,0.112903,0.134409,0.145161,0.134409,0.134409,0.193548,0.172043,0.236559,0.080645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08,1.0,0.203704,0.296296,0.320988,0.17284,0.117284,0.098765,0.123457,0.135802,0.12963,0.12963,0.123457,0.154321,0.185185,0.179012,0.197531,0.067901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09,1.0,0.226337,0.234568,0.123457,0.090535,0.102881,0.135802,0.098765,0.127572,0.131687,0.115226,0.098765,0.218107,0.164609,0.160494,0.053498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10,1.0,0.257294,0.145889,0.124668,0.087533,0.082228,0.129973,0.137931,0.106101,0.092838,0.106101,0.129973,0.190981,0.230769,0.068966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-11,1.0,0.175385,0.092308,0.095385,0.076923,0.086154,0.129231,0.098462,0.086154,0.089231,0.110769,0.144615,0.255385,0.061538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12,1.0,0.092105,0.052632,0.092105,0.118421,0.065789,0.052632,0.092105,0.052632,0.026316,0.092105,0.197368,0.026316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-01,1.0,0.169014,0.211268,0.197183,0.211268,0.15493,0.15493,0.126761,0.112676,0.211268,0.253521,0.112676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-02,1.0,0.16129,0.153226,0.185484,0.217742,0.153226,0.153226,0.145161,0.145161,0.177419,0.056452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03,1.0,0.184358,0.217877,0.201117,0.223464,0.150838,0.206704,0.201117,0.240223,0.094972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-04,1.0,0.254717,0.198113,0.198113,0.179245,0.235849,0.179245,0.254717,0.113208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05,1.0,0.234234,0.243243,0.162162,0.216216,0.207207,0.261261,0.117117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-06,1.0,0.231481,0.212963,0.268519,0.203704,0.287037,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-07,1.0,0.215686,0.303922,0.27451,0.343137,0.156863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-08,1.0,0.273585,0.311321,0.264151,0.169811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-09,1.0,0.269841,0.375661,0.148148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-10,1.0,0.321267,0.158371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-11,1.0,0.141361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
