Customer ID,FirstPurchase,LastPurchase,Orders,Monetary,AverageOrderValue,RecencyDays,CustomerAgeDays,RepeatCustomer,SecondPurchase,DaysToSecondPurchase,EligibleFor90DayRepeat,RepeatWithin90Days,R_Score,F_Score,M_Score,RFM_Score,RFM Segment,Lifecycle,CRM Priority
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,6463.038333333334,326,726,True,2009-12-14 11:00:00,0.0,True,True,2,5,5,12,At Risk,Dormant,Low-cost reactivation
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,4921.53,615.19125,2,404,True,2010-12-07 14:57:00,37.0,True,True,5,4,5,14,Champions,Active repeat,Protect high-value active
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2019.3999999999999,403.88,75,438,True,2010-12-16 19:09:00,80.0,True,True,3,4,4,11,Loyal Customers,Active repeat,Develop loyalty
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,4,4428.69,1107.1725,19,589,True,2010-05-18 09:57:00,18.0,True,True,5,3,5,13,Potential Loyalists,Active repeat,Protect high-value active
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,334.4,310,310,False,,,True,False,2,1,2,5,Hibernating,Dormant,Low-cost reactivation
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,300.93,375,375,False,,,True,False,2,1,2,5,Hibernating,Dormant,Low-cost reactivation
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,10,2849.84,284.98400000000004,36,393,True,2010-11-29 10:07:00,16.0,True,True,4,5,4,13,Champions,Active repeat,Protect high-value active
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,203.38,204,409,True,2011-05-19 17:47:00,204.0,True,False,2,2,2,6,Hibernating,Dormant,Low-cost reactivation
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,1079.4,232,232,False,,,True,False,2,1,3,6,Hibernating,Dormant,Low-cost reactivation
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,473.805,214,568,True,2011-05-09 13:49:00,353.0,True,False,2,2,3,7,Hibernating,Dormant,Low-cost reactivation
