date,year,month_no,month,year_month,week_start,day_of_week,day_of_week_no,is_weekend
2020-11-01,2020,11,Nov,2020-11,2020-10-26,Sunday,7,1
2020-11-02,2020,11,Nov,2020-11,2020-11-02,Monday,1,0
2020-11-03,2020,11,Nov,2020-11,2020-11-02,Tuesday,2,0
2020-11-04,2020,11,Nov,2020-11,2020-11-02,Wednesday,3,0
2020-11-05,2020,11,Nov,2020-11,2020-11-02,Thursday,4,0
2020-11-06,2020,11,Nov,2020-11,2020-11-02,Friday,5,0
2020-11-07,2020,11,Nov,2020-11,2020-11-02,Saturday,6,1
2020-11-08,2020,11,Nov,2020-11,2020-11-02,Sunday,7,1
2020-11-09,2020,11,Nov,2020-11,2020-11-09,Monday,1,0
2020-11-10,2020,11,Nov,2020-11,2020-11-09,Tuesday,2,0
2020-11-11,2020,11,Nov,2020-11,2020-11-09,Wednesday,3,0
2020-11-12,2020,11,Nov,2020-11,2020-11-09,Thursday,4,0
2020-11-13,2020,11,Nov,2020-11,2020-11-09,Friday,5,0
2020-11-14,2020,11,Nov,2020-11,2020-11-09,Saturday,6,1
2020-11-15,2020,11,Nov,2020-11,2020-11-09,Sunday,7,1
2020-11-16,2020,11,Nov,2020-11,2020-11-16,Monday,1,0
2020-11-17,2020,11,Nov,2020-11,2020-11-16,Tuesday,2,0
2020-11-18,2020,11,Nov,2020-11,2020-11-16,Wednesday,3,0
2020-11-19,2020,11,Nov,2020-11,2020-11-16,Thursday,4,0
2020-11-20,2020,11,Nov,2020-11,2020-11-16,Friday,5,0
2020-11-21,2020,11,Nov,2020-11,2020-11-16,Saturday,6,1
2020-11-22,2020,11,Nov,2020-11,2020-11-16,Sunday,7,1
2020-11-23,2020,11,Nov,2020-11,2020-11-23,Monday,1,0
2020-11-24,2020,11,Nov,2020-11,2020-11-23,Tuesday,2,0
2020-11-25,2020,11,Nov,2020-11,2020-11-23,Wednesday,3,0
2020-11-26,2020,11,Nov,2020-11,2020-11-23,Thursday,4,0
2020-11-27,2020,11,Nov,2020-11,2020-11-23,Friday,5,0
2020-11-28,2020,11,Nov,2020-11,2020-11-23,Saturday,6,1
2020-11-29,2020,11,Nov,2020-11,2020-11-23,Sunday,7,1
2020-11-30,2020,11,Nov,2020-11,2020-11-30,Monday,1,0
2020-12-01,2020,12,Dec,2020-12,2020-11-30,Tuesday,2,0
2020-12-02,2020,12,Dec,2020-12,2020-11-30,Wednesday,3,0
2020-12-03,2020,12,Dec,2020-12,2020-11-30,Thursday,4,0
2020-12-04,2020,12,Dec,2020-12,2020-11-30,Friday,5,0
2020-12-05,2020,12,Dec,2020-12,2020-11-30,Saturday,6,1
2020-12-06,2020,12,Dec,2020-12,2020-11-30,Sunday,7,1
2020-12-07,2020,12,Dec,2020-12,2020-12-07,Monday,1,0
2020-12-08,2020,12,Dec,2020-12,2020-12-07,Tuesday,2,0
2020-12-09,2020,12,Dec,2020-12,2020-12-07,Wednesday,3,0
2020-12-10,2020,12,Dec,2020-12,2020-12-07,Thursday,4,0
2020-12-11,2020,12,Dec,2020-12,2020-12-07,Friday,5,0
2020-12-12,2020,12,Dec,2020-12,2020-12-07,Saturday,6,1
2020-12-13,2020,12,Dec,2020-12,2020-12-07,Sunday,7,1
2020-12-14,2020,12,Dec,2020-12,2020-12-14,Monday,1,0
