Dimension,Segment,Control N,Treatment N,Control Rate,Treatment Rate,Absolute Lift,CI Low,CI High,P Value,Interpretation
device_category,desktop,5920,5920,0.05540540540540541,0.06385135135135135,0.008445945945945943,-8.32760698281261e-05,0.016975167961720012,0.05231664892219645,Exploratory; not powered for segment decisions
device_category,mobile,9254,9267,0.05132915496001729,0.05945829286716305,0.008129137907145763,0.0015416084573448173,0.014716667356946708,0.015600326178664803,Exploratory; not powered for segment decisions
device_category,tablet,826,813,0.05084745762711865,0.04920049200492005,-0.0016469656221985984,-0.02275353899888704,0.019459607754489842,0.8784630893172192,Exploratory; not powered for segment decisions
channel,Direct,3662,3622,0.05434188967777171,0.06515737161789067,0.010815481940118964,-7.073711385623127e-05,0.02170170099409416,0.051459481851889866,Exploratory; not powered for segment decisions
channel,Display,995,965,0.04723618090452261,0.04248704663212435,-0.004749134272398259,-0.02307123216919984,0.013572963624403321,0.61173240705482,Exploratory; not powered for segment decisions
channel,Email,975,996,0.05128205128205128,0.06726907630522089,0.015987025023169607,-0.004838053592960464,0.03681210363929968,0.1331639123407311,Exploratory; not powered for segment decisions
channel,Organic Search,4879,4944,0.05390448862471818,0.05764563106796117,0.003741142443242987,-0.005334210001293213,0.012816494887779186,0.4192272838164235,Exploratory; not powered for segment decisions
channel,Organic Social,1014,948,0.048323471400394474,0.060126582278481014,0.01180311087808654,-0.008277150384389032,0.03188337214056211,0.2478233758283377,Exploratory; not powered for segment decisions
channel,Paid Search,2884,2887,0.05409153952843273,0.06789054381711118,0.013799004288678453,0.0014557980501154703,0.026142210527241437,0.028517184772934412,Exploratory; not powered for segment decisions
channel,Referral,1591,1638,0.05091137649277184,0.05311355311355311,0.0022021766207812737,-0.013114922250103914,0.017519275491666462,0.7781710395543628,Exploratory; not powered for segment decisions
