product_name,category,subcategory,units,orders,revenue,avg_selling_price
Google Zip Hoodie,Apparel,Outerwear,337,294,17973.38,53.33347181008902
Google Campus Backpack,Bags,Backpack,282,250,16392.18,58.128297872340426
Google Performance Jacket,Apparel,Outerwear,135,120,10402.65,77.05666666666666
Google Crewneck Sweatshirt,Apparel,Outerwear,214,192,10320.36,48.22598130841122
Google Laptop Backpack,Bags,Backpack,139,128,9969.859999999999,71.72561151079135
Google Water Bottle 24oz,Drinkware,Bottle,358,312,8607.67,24.04377094972067
Google Stainless Bottle,Drinkware,Bottle,267,237,8461.83,31.692247191011237
Google Classic Logo Tee,Apparel,T-Shirts,330,285,7937.95,24.05439393939394
Google Travel Tumbler,Drinkware,Tumbler,250,221,7251.5,29.006
Google Ceramic Mug,Drinkware,Mug,380,334,6596.799999999999,17.36
Google Picnic Blanket,Lifestyle,Outdoor,135,118,5819.400000000001,43.10666666666667
Google Cloud Tee,Apparel,T-Shirts,216,182,5819.04,26.94
Google Beanie,Apparel,Headwear,232,211,5578.929999999999,24.047112068965514
YouTube Creator Tee,Apparel,T-Shirts,212,189,5522.08,26.04754716981132
Google Lunch Bag,Bags,Lunch Bag,195,179,5415.25,27.77051282051282
Android Mascot Tee,Apparel,T-Shirts,207,183,5190.13,25.073091787439616
YouTube Cap,Apparel,Headwear,219,190,5075.01,23.17356164383562
YouTube Kids Tee,Apparel,T-Shirts,240,214,4858.05,20.241875
Google Mini Umbrella,Lifestyle,Travel,162,143,4742.88,29.277037037037037
Google Recycled Tote,Bags,Tote,213,188,4523.2699999999995,21.23600938967136
Google Cap,Apparel,Headwear,195,177,4297.9,22.04051282051282
Google Kids Tee,Apparel,T-Shirts,217,193,4205.83,19.381705069124422
YouTube Mug,Drinkware,Mug,217,191,3987.83,18.377096774193546
Google Reusable Cup,Drinkware,Cup,249,217,3839.91,15.421325301204819
Android Figurine,Lifestyle,Collectible,156,139,3754.6899999999996,24.068525641025637
Google Tote Bag,Bags,Tote,193,166,3573.87,18.517461139896373
YouTube Drawstring Bag,Bags,Drawstring,218,185,3560.1699999999996,16.331055045871558
Google Travel Pouch,Lifestyle,Travel,175,155,3410.2499999999995,19.487142857142853
Google Socks,Apparel,Accessories,222,195,3215.28,14.483243243243244
Google Premium Notebook,Office,Notebook,144,133,3074.16,21.348333333333333
Google Desk Pad,Office,Desk,158,142,3057.4199999999996,19.350759493670882
Google Shopping Bag,Bags,Tote,232,205,2901.23,12.505301724137931
Google Notebook,Office,Notebook,207,179,2588.83,12.506425120772947
Google Mouse Pad,Office,Desk,167,149,2402.08,14.383712574850298
Google Phone Stand,Office,Desk,145,126,2374.2999999999997,16.374482758620687
Google Enamel Pin,Accessories,Pin,174,154,1850.66,10.635977011494253
Google Sticker Pack,Accessories,Stickers,253,226,1709.67,6.757588932806325
Google Lanyard,Accessories,Lanyard,192,173,1670.28,8.699375
Google Cable Organizer,Office,Desk,138,129,1606.02,11.637826086956522
Google Pen Set,Office,Stationery,145,128,1392.05,9.600344827586207
Google Keychain,Accessories,Keychain,141,128,1356.5900000000001,9.621205673758867
Android Sticker Pack,Accessories,Stickers,154,139,1191.26,7.735454545454545
