order_id,session_id,user_id,order_date,product_key,channel_id,device_id,geo_id,quantity,unit_price,item_revenue
O000001,S0000017,U000008,2020-12-09,6,6,2,3,1,49.99,49.99
O000001,S0000017,U000008,2020-12-09,3,6,2,3,1,24.29,24.29
O000002,S0000036,U000016,2020-12-13,37,3,2,1,1,24.99,24.99
O000003,S0000073,U000029,2020-12-09,10,6,2,2,1,14.99,14.99
O000003,S0000073,U000029,2020-12-09,23,6,2,2,1,19.99,19.99
O000004,S0000087,U000035,2021-01-01,32,1,1,2,1,19.99,19.99
O000004,S0000087,U000035,2021-01-01,6,1,1,2,1,49.99,49.99
O000005,S0000104,U000042,2020-11-09,25,7,1,8,1,6.99,6.99
O000005,S0000104,U000042,2020-11-09,22,7,1,8,1,9.99,9.99
O000006,S0000105,U000042,2020-11-15,27,2,1,8,1,8.99,8.99
O000007,S0000107,U000043,2020-12-10,20,6,1,1,1,12.99,12.99
O000008,S0000113,U000048,2021-01-22,8,1,1,3,2,22.99,45.98
O000008,S0000113,U000048,2021-01-22,35,1,1,3,2,19.99,39.98
O000009,S0000114,U000048,2021-01-23,13,2,1,3,1,74.99,74.99
O000010,S0000121,U000052,2020-12-10,38,1,2,1,1,16.99,16.99
O000011,S0000128,U000055,2020-11-29,5,5,1,1,1,49.49,49.49
O000011,S0000128,U000055,2020-11-29,3,5,1,1,1,21.59,21.59
O000012,S0000138,U000061,2020-11-18,13,2,1,4,1,74.99,74.99
O000013,S0000206,U000089,2020-12-31,15,1,2,5,1,24.99,24.99
O000014,S0000223,U000097,2021-01-14,17,7,2,2,1,17.99,17.99
O000014,S0000223,U000097,2021-01-14,37,7,2,2,1,24.99,24.99
O000015,S0000232,U000100,2021-01-26,20,1,1,1,1,12.99,12.99
O000016,S0000239,U000102,2021-01-22,32,2,2,10,1,19.99,19.99
O000016,S0000239,U000102,2021-01-22,25,2,2,10,1,6.99,6.99
O000017,S0000260,U000111,2021-01-05,9,4,2,1,2,23.99,47.98
O000018,S0000265,U000114,2020-12-26,12,7,1,1,1,59.99,59.99
O000019,S0000267,U000115,2020-12-01,10,2,2,10,1,13.49,13.49
O000020,S0000326,U000140,2020-11-27,33,1,1,1,1,38.24,38.24
O000021,S0000329,U000141,2020-12-17,40,1,1,5,1,26.09,26.09
O000022,S0000337,U000144,2020-12-28,42,3,2,1,2,12.99,25.98
O000022,S0000337,U000144,2020-12-28,37,3,2,1,1,24.99,24.99
O000022,S0000337,U000144,2020-12-28,36,3,2,1,1,20.99,20.99
O000022,S0000337,U000144,2020-12-28,9,3,2,1,1,23.99,23.99
O000023,S0000399,U000169,2020-12-02,20,3,2,10,1,10.39,10.39
O000023,S0000399,U000169,2020-12-02,37,3,2,10,2,22.49,44.98
O000023,S0000399,U000169,2020-12-02,9,3,2,10,1,21.59,21.59
O000024,S0000407,U000172,2020-11-16,42,1,2,1,1,12.99,12.99
O000025,S0000429,U000183,2020-11-30,28,3,2,4,1,8.49,8.49
O000025,S0000429,U000183,2020-11-30,18,3,2,4,1,17.09,17.09
O000026,S0000438,U000187,2020-12-08,15,6,1,5,1,24.99,24.99
O000027,S0000462,U000194,2020-12-08,34,1,1,1,1,21.99,21.99
O000027,S0000462,U000194,2020-12-08,23,1,1,1,1,19.99,19.99
O000028,S0000479,U000201,2020-12-04,1,1,2,1,2,24.99,49.98
O000029,S0000494,U000208,2020-12-03,24,1,2,1,1,11.99,11.99
O000029,S0000494,U000208,2020-12-03,25,1,2,1,1,5.94,5.94
O000030,S0000523,U000218,2020-12-02,20,6,1,1,2,11.04,22.08
O000030,S0000523,U000218,2020-12-02,35,6,1,1,1,16.99,16.99
O000031,S0000571,U000237,2020-12-29,15,4,1,7,2,24.99,49.98
O000032,S0000573,U000238,2020-11-04,20,4,1,1,1,12.99,12.99
O000032,S0000573,U000238,2020-11-04,13,4,1,1,1,74.99,74.99
O000033,S0000591,U000245,2020-11-19,17,6,2,1,1,17.99,17.99
O000034,S0000594,U000246,2021-01-18,31,6,2,10,1,29.99,29.99
O000034,S0000594,U000246,2021-01-18,42,6,2,10,1,12.99,12.99
O000035,S0000605,U000252,2021-01-20,29,5,1,1,1,10.99,10.99
O000036,S0000627,U000261,2021-01-19,16,5,2,6,1,32.99,32.99
O000037,S0000649,U000271,2020-12-22,26,6,1,1,1,7.19,7.19
O000038,S0000659,U000277,2020-11-28,20,1,1,9,1,11.69,11.69
O000039,S0000714,U000304,2021-01-04,15,2,1,1,1,24.99,24.99
O000039,S0000714,U000304,2021-01-04,40,2,1,1,1,28.99,28.99
O000040,S0000718,U000306,2020-12-25,31,2,1,4,2,29.99,59.98
O000040,S0000718,U000306,2020-12-25,10,2,1,4,1,13.49,13.49
O000041,S0000726,U000310,2020-11-29,3,6,1,3,1,21.59,21.59
O000042,S0000733,U000313,2021-01-08,32,1,1,5,1,19.99,19.99
O000042,S0000733,U000313,2021-01-08,10,1,1,5,1,14.99,14.99
O000043,S0000762,U000324,2020-12-20,34,3,1,6,1,21.99,21.99
