session_id,user_id,session_date,channel_id,device_id,geo_id,source,medium,is_new_user,engaged_session,engagement_seconds,pageviews,view_item,add_to_cart,begin_checkout,purchase,order_id,session_revenue
S0000001,U000001,2020-11-21,3,1,6,google,cpc,1,0,35,3,0,0,0,0,,0.0
S0000002,U000001,2020-11-25,2,3,6,(direct),(none),0,1,222,7,1,1,1,0,,0.0
S0000003,U000002,2020-11-30,4,1,1,google.com,referral,1,1,138,8,1,1,0,0,,0.0
S0000004,U000002,2020-12-06,2,1,1,(direct),(none),0,0,56,4,1,0,0,0,,0.0
S0000005,U000002,2020-12-08,7,1,1,instagram,social,0,1,227,7,1,0,0,0,,0.0
S0000006,U000002,2020-12-09,3,1,1,bing,cpc,0,0,67,4,1,0,0,0,,0.0
S0000007,U000002,2020-12-10,5,2,1,dv360,display,0,0,53,3,0,0,0,0,,0.0
S0000008,U000003,2020-12-09,1,2,1,google,organic,1,1,196,2,1,1,0,0,,0.0
S0000009,U000003,2020-12-13,2,2,1,(direct),(none),0,1,143,7,1,0,0,0,,0.0
S0000010,U000004,2020-11-29,1,1,10,google,organic,1,0,117,3,0,0,0,0,,0.0
S0000011,U000005,2020-11-22,2,2,4,(direct),(none),1,1,125,5,1,1,0,0,,0.0
S0000012,U000005,2020-11-25,2,2,4,(direct),(none),0,0,78,5,1,0,0,0,,0.0
S0000013,U000006,2020-12-20,4,1,1,partner-site,referral,1,1,71,6,1,0,0,0,,0.0
S0000014,U000006,2020-12-25,2,2,1,(direct),(none),0,0,107,5,1,0,0,0,,0.0
S0000015,U000007,2020-11-22,3,1,2,google,cpc,1,0,17,4,0,0,0,0,,0.0
S0000016,U000008,2020-12-08,1,1,3,yahoo,organic,1,1,190,12,1,1,1,0,,0.0
S0000017,U000008,2020-12-09,6,2,3,newsletter,email,0,1,459,13,1,1,1,1,O000001,74.28
S0000018,U000008,2020-12-17,3,2,3,google,cpc,0,0,4,1,0,0,0,0,,0.0
S0000019,U000008,2020-12-19,7,2,3,youtube,social,0,1,214,8,1,1,0,0,,0.0
S0000020,U000009,2020-12-10,4,1,2,youtube.com,referral,1,0,96,3,0,0,0,0,,0.0
S0000021,U000009,2020-12-15,3,1,2,google,cpc,0,0,91,5,0,0,0,0,,0.0
S0000022,U000009,2020-12-17,2,1,2,(direct),(none),0,0,91,1,0,0,0,0,,0.0
S0000023,U000010,2020-12-21,2,1,1,(direct),(none),1,0,74,2,0,0,0,0,,0.0
S0000024,U000010,2020-12-25,1,1,1,google,organic,0,1,88,6,1,0,0,0,,0.0
S0000025,U000011,2020-11-23,7,2,2,youtube,social,1,1,170,10,1,1,0,0,,0.0
S0000026,U000011,2020-11-25,4,2,2,youtube.com,referral,0,1,323,14,1,1,1,0,,0.0
S0000027,U000011,2020-12-08,4,2,2,other-referral,referral,0,1,168,1,1,0,0,0,,0.0
