product_name,category,subcategory,units,orders,revenue,avg_selling_price
Google Zip Hoodie,Apparel,Outerwear,337,294,17973.38,53.33
Google Campus Backpack,Bags,Backpack,282,250,16392.18,58.13
Google Performance Jacket,Apparel,Outerwear,135,120,10402.65,77.06
Google Crewneck Sweatshirt,Apparel,Outerwear,214,192,10320.36,48.23
Google Laptop Backpack,Bags,Backpack,139,128,9969.86,71.73
Google Water Bottle 24oz,Drinkware,Bottle,358,312,8607.67,24.04
Google Stainless Bottle,Drinkware,Bottle,267,237,8461.83,31.69
Google Classic Logo Tee,Apparel,T-Shirts,330,285,7937.95,24.05
Google Travel Tumbler,Drinkware,Tumbler,250,221,7251.5,29.01
Google Ceramic Mug,Drinkware,Mug,380,334,6596.8,17.36
Google Picnic Blanket,Lifestyle,Outdoor,135,118,5819.4,43.11
Google Cloud Tee,Apparel,T-Shirts,216,182,5819.04,26.94
Google Beanie,Apparel,Headwear,232,211,5578.93,24.05
YouTube Creator Tee,Apparel,T-Shirts,212,189,5522.08,26.05
Google Lunch Bag,Bags,Lunch Bag,195,179,5415.25,27.77
Android Mascot Tee,Apparel,T-Shirts,207,183,5190.13,25.07
YouTube Cap,Apparel,Headwear,219,190,5075.01,23.17
YouTube Kids Tee,Apparel,T-Shirts,240,214,4858.05,20.24
Google Mini Umbrella,Lifestyle,Travel,162,143,4742.88,29.28
Google Recycled Tote,Bags,Tote,213,188,4523.27,21.24
Google Cap,Apparel,Headwear,195,177,4297.9,22.04
Google Kids Tee,Apparel,T-Shirts,217,193,4205.83,19.38
YouTube Mug,Drinkware,Mug,217,191,3987.83,18.38
Google Reusable Cup,Drinkware,Cup,249,217,3839.91,15.42
Android Figurine,Lifestyle,Collectible,156,139,3754.69,24.07
Google Tote Bag,Bags,Tote,193,166,3573.87,18.52
YouTube Drawstring Bag,Bags,Drawstring,218,185,3560.17,16.33
Google Travel Pouch,Lifestyle,Travel,175,155,3410.25,19.49
Google Socks,Apparel,Accessories,222,195,3215.28,14.48
Google Premium Notebook,Office,Notebook,144,133,3074.16,21.35
Google Desk Pad,Office,Desk,158,142,3057.42,19.35
Google Shopping Bag,Bags,Tote,232,205,2901.23,12.51
Google Notebook,Office,Notebook,207,179,2588.83,12.51
Google Mouse Pad,Office,Desk,167,149,2402.08,14.38
Google Phone Stand,Office,Desk,145,126,2374.3,16.37
Google Enamel Pin,Accessories,Pin,174,154,1850.66,10.64
Google Sticker Pack,Accessories,Stickers,253,226,1709.67,6.76
Google Lanyard,Accessories,Lanyard,192,173,1670.28,8.7
Google Cable Organizer,Office,Desk,138,129,1606.02,11.64
Google Pen Set,Office,Stationery,145,128,1392.05,9.6
Google Keychain,Accessories,Keychain,141,128,1356.59,9.62
Android Sticker Pack,Accessories,Stickers,154,139,1191.26,7.74
