CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI
CAMP00001,2025-11-23,2025-12-09,Search,102725,6365,1492,388,9356.37,41907.9,3.4791
CAMP00002,2025-06-24,2025-07-20,Social,41985,1045,145,27,893.97,2126.43,1.3786
CAMP00003,2025-01-02,2025-01-10,Email,65728,4402,1113,221,3122.91,14054.47,3.5004
CAMP00004,2025-05-17,2025-06-10,Email,38986,3569,1029,224,2811.11,16703.57,4.942
CAMP00005,2025-10-07,2025-10-17,Email,98671,10314,3177,753,7331.82,42075.82,4.7388
CAMP00006,2025-07-22,2025-08-13,Display,39290,417,43,8,260.59,681.51,1.6153
CAMP00007,2025-02-19,2025-03-07,Influencer,32678,865,142,22,959.87,1449.45,0.51
CAMP00008,2025-08-28,2025-09-15,Search,76589,4252,938,240,5440.41,23934.07,3.3993
CAMP00009,2025-09-14,2025-10-02,Social,95534,3132,572,112,2071.88,8285.98,2.9993
CAMP00010,2025-09-17,2025-10-09,Search,54400,2586,574,122,3657.89,7673.92,1.0979
CAMP00011,2025-10-21,2025-10-27,Influencer,40660,1562,308,82,1758.93,4958.61,1.8191
CAMP00012,2025-04-27,2025-05-15,Influencer,27669,913,147,29,1130.51,1889.87,0.6717
CAMP00013,2025-09-09,2025-10-02,Social,30622,588,87,10,450.55,674.43,0.4969
CAMP00014,2025-07-02,2025-07-11,Display,71176,939,97,17,640.43,965.72,0.5079
CAMP00015,2025-12-12,2025-12-31,Social,34678,702,123,13,561.52,890.52,0.5859
CAMP00016,2025-02-20,2025-03-17,Display,57766,592,46,6,336.6,437.11,0.2986
CAMP00017,2025-04-06,2025-04-12,Email,70149,5127,1354,260,3987.17,18234.22,3.5732
CAMP00018,2025-12-13,2025-12-19,Email,75493,4570,1058,188,3239.34,10673.43,2.2949
CAMP00019,2025-06-29,2025-07-14,Search,76921,4432,972,234,6536.85,20280.85,2.1025
CAMP00020,2025-11-27,2025-12-14,Search,147190,8219,1797,419,10087.07,37687.48,2.7362
CAMP00021,2025-02-11,2025-02-23,Social,111944,2927,488,97,2097.29,8533.19,3.0687
CAMP00022,2025-02-28,2025-03-25,Email,40319,2780,704,129,2739.68,6191.3,1.2599
