StartMonth,Spend,Revenue,Conversions,CAC,ROAS
2025-01,2291658.99,7659642.07,101195,22.645971,3.3424
2025-02,2260361.55,7515965.56,101031,22.37295,3.325117
2025-03,2342720.69,7657296.53,100939,23.209272,3.268549
2025-04,2441576.08,8203948.51,108344,22.535406,3.360104
2025-05,2599584.11,8645329.92,115600,22.487752,3.325659
2025-06,2467768.45,8071908.49,107399,22.977574,3.270934
2025-07,2315016.18,7849406.05,103431,22.382228,3.390648
2025-08,2413927.13,8149025.16,110295,21.886098,3.375837
2025-09,2212339.36,7398273.55,96680,22.883113,3.344095
2025-10,2335557.81,8102382.55,106453,21.939803,3.469142
2025-11,2410584.51,8038128.79,107089,22.510104,3.334514
2025-12,2241254.37,7584137.41,99572,22.508882,3.383881
