Source,Target,Type,Weight
79323P,79323W,Undirected,128
21232,22064,Undirected,203
22349,22350,Undirected,116
21754,21755,Undirected,591
21755,84879,Undirected,168
21181,21755,Undirected,111
21755,21756,Undirected,168
21754,84879,Undirected,254
21181,21754,Undirected,129
21754,21756,Undirected,237
22296,84879,Undirected,110
22295,84879,Undirected,109
22295,22296,Undirected,166
21181,82582,Undirected,142
21987,21989,Undirected,160
20971,22271,Undirected,124
20971,22274,Undirected,104
22271,22272,Undirected,117
22271,22274,Undirected,224
22272,22274,Undirected,110
22111,22112,Undirected,377
84032A,84032B,Undirected,145
22138,22139,Undirected,344
22138,POST,Undirected,105
22139,POST,Undirected,112
22352,POST,Undirected,160
85014A,85014B,Undirected,278
21731,POST,Undirected,247
22111,84029E,Undirected,204
21955,85123A,Undirected,119
22111,85123A,Undirected,211
22296,85123A,Undirected,206
21790,85123A,Undirected,127
21428,21430,Undirected,127
21790,21888,Undirected,132
21035,21041,Undirected,100
21733,85123A,Undirected,805
22178,85123A,Undirected,250
22086,85123A,Undirected,137
22112,85123A,Undirected,206
22294,85123A,Undirected,170
22083,85123A,Undirected,118
22114,85123A,Undirected,152
21485,85123A,Undirected,192
21928,85123A,Undirected,107
21929,85123A,Undirected,117
85099B,85123A,Undirected,360
22356,85123A,Undirected,124
20724,85123A,Undirected,174
20725,85123A,Undirected,300
20728,85123A,Undirected,194
20726,85123A,Undirected,145
21217,85123A,Undirected,106
85066,85123A,Undirected,204
22086,22112,Undirected,106
22083,22086,Undirected,170
22086,85099B,Undirected,105
22111,22114,Undirected,271
21485,22111,Undirected,376
22111,85099B,Undirected,121
22112,22114,Undirected,489
21485,22112,Undirected,277
22112,85099B,Undirected,124
21485,22114,Undirected,196
21928,21929,Undirected,425
21928,85099B,Undirected,533
20725,21928,Undirected,187
20728,21928,Undirected,103
21929,85099B,Undirected,493
20724,21929,Undirected,102
20725,21929,Undirected,170
20728,21929,Undirected,108
22356,85099B,Undirected,227
20724,85099B,Undirected,353
20725,85099B,Undirected,611
20728,85099B,Undirected,325
20726,85099B,Undirected,244
21217,85099B,Undirected,102
20724,22356,Undirected,499
20725,22356,Undirected,230
20728,22356,Undirected,169
20726,22356,Undirected,128
20724,20725,Undirected,322
20724,20728,Undirected,207
20724,20726,Undirected,162
20725,20728,Undirected,638
20725,20726,Undirected,573
20726,20728,Undirected,471
22087,22090,Undirected,122
22083,22090,Undirected,197
21977,84991,Undirected,482
21977,22138,Undirected,118
22273,22274,Undirected,228
21668,21669,Undirected,286
21668,21670,Undirected,234
21668,21671,Undirected,243
21668,21672,Undirected,237
21668,21673,Undirected,200
21669,21670,Undirected,247
21669,21671,Undirected,238
21669,21672,Undirected,211
21669,21673,Undirected,206
21670,21671,Undirected,235
21670,21672,Undirected,210
21670,21673,Undirected,232
21671,21672,Undirected,237
21671,21673,Undirected,176
21672,21673,Undirected,227
21181,21232,Undirected,114
21232,82494L,Undirected,102
21212,21232,Undirected,179
21232,84991,Undirected,190
21232,37450,Undirected,109
21181,85150,Undirected,254
82486,82494L,Undirected,392
82483,82494L,Undirected,359
82483,82486,Undirected,493
21212,84991,Undirected,608
48185,85123A,Undirected,116
84879,85123A,Undirected,496
21733,84879,Undirected,131
21481,22114,Undirected,115
20967,20970,Undirected,100
20970,20972,Undirected,105
20971,20972,Undirected,399
84997C,84997D,Undirected,438
22300,22301,Undirected,254
48185,85099B,Undirected,133
22139,85099B,Undirected,138
22138,85099B,Undirected,107
21791,21912,Undirected,107
21790,21912,Undirected,150
20972,85123A,Undirected,128
21931,85123A,Undirected,169
20971,85123A,Undirected,103
21790,21791,Undirected,395
20711,21931,Undirected,272
84997A,84997B,Undirected,275
20675,21244,Undirected,175
84946,85123A,Undirected,202
84949,85123A,Undirected,119
21181,85123A,Undirected,303
82483,85123A,Undirected,324
85123A,85152,Undirected,227
84946,84949,Undirected,135
21181,21908,Undirected,149
21908,85152,Undirected,211
21181,85152,Undirected,343
21181,22114,Undirected,102
21523,48187,Undirected,177
21523,21754,Undirected,104
22080,22082,Undirected,125
21754,84836,Undirected,104
21181,82600,Undirected,255
22077,85049E,Undirected,147
22077,85123A,Undirected,156
20718,85123A,Undirected,107
84836,85123A,Undirected,310
21527,85123A,Undirected,106
21533,85123A,Undirected,145
20914,85123A,Undirected,235
21535,85123A,Undirected,144
15056BL,85123A,Undirected,120
15056N,85123A,Undirected,112
21527,21539,Undirected,125
21533,21539,Undirected,171
21531,21539,Undirected,167
21535,21539,Undirected,181
21527,21533,Undirected,168
21527,21531,Undirected,156
21527,21535,Undirected,200
21527,21844,Undirected,113
21527,22073,Undirected,102
