Id,Label,TotalQuantity,TotalRevenue,InvoiceCount,Degree,WeightedDegree
85123A,WHITE HANGING HEART T-LIGHT HOLDER,96147,263109.67,5365,730,57967
85099B,JUMBO BAG RED WHITE SPOTTY ,98349,183454.83,3989,468,40733
22423,REGENCY CAKESTAND 3 TIER,27577,344563.25,3918,560,37131
20725,LUNCH BAG RED SPOTTY,40942,72292.85,3056,394,31924
21212,PACK OF 72 RETRO SPOT CAKE CASES,96560,52997.200000000004,3118,381,26966
84879,ASSORTED COLOUR BIRD ORNAMENT,81809,132187.91999999998,2807,416,25549
22383,LUNCHBAG SUKI  DESIGN ,25461,43932.56,2398,265,21184
22386,JUMBO BAG PINK WITH WHITE SPOTS,39840,77111.91,2245,255,21158
21931,JUMBO STORAGE BAG SUKI,29503,62285.28,2329,252,20346
20727,LUNCH BAG  BLACK SKULL.,27126,46422.49,2351,265,20239
22382,LUNCHBAG SPACEBOY DESIGN ,20458,34436.39,2153,265,19822
22384,LUNCHBAG PINK RETROSPOT,21037,34506.659999999996,2106,242,19089
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27732,58275.45,2192,252,18400
47566,PARTY BUNTING,28378,149187.05000000002,2674,304,17596
21232,STRAWBERRY CERAMIC TRINKET BOX,38981,50760.48,2435,275,17498
20728,LUNCH BAG CARS BLUE,24892,42784.74,2067,227,17322
20914,SET/5 RED SPOTTY LID GLASS BOWLS,18979,53415.310000000005,2030,276,15989
21080,SET/20 RED SPOTTY PAPER NAPKINS ,31823,26031.969999999998,2123,248,15548
84991,60 TEATIME FAIRY CAKE CASES,54716,27404.22,2127,242,15438
22197,"POPCORN HOLDER , SMALL ",89898,80920.64,2322,289,15358
21754,HOME BUILDING BLOCK WORD,7847,48079.69,2066,261,15328
82482,WOODEN PICTURE FRAME WHITE FINISH,17198,42546.58,2006,244,15317
82494L,WOODEN FRAME ANTIQUE WHITE ,15645,44796.9,1973,239,14721
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,10675,53214.310000000005,2093,280,14574
20726,LUNCH BAG WOODLAND,22341,38949.729999999996,1926,192,14540
22470,HEART OF WICKER LARGE,18551,55898.87,1952,242,14296
22469,HEART OF WICKER SMALL,29037,51127.759999999995,2151,245,14234
POST,POSTAGE,5461,127597.42,1851,226,13876
21977,PACK OF 60 PINK PAISLEY CAKE CASES,56794,28490.98,1993,227,13665
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36581,123141.54000000001,2018,256,13583
21181,PLEASE ONE PERSON  METAL SIGN,25117,51005.82000000001,1810,214,13461
20724,RED SPOTTY CHARLOTTE BAG,32487,35595.63,2035,179,13455
85099C,JUMBO  BAG BAROQUE BLACK WHITE,31249,60292.32,1868,165,12879
85099F,JUMBO BAG STRAWBERRY,37124,68488.81,1830,158,12876
22138,BAKING SET 9 PIECE RETROSPOT ,9383,45966.16,1914,237,12838
21034,REX CASH+CARRY JUMBO SHOPPER,4240,4028.0,1902,264,12673
22457,NATURAL SLATE HEART CHALKBOARD ,15771,48671.05,2046,217,11568
20685,RED SPOTTY COIR DOORMAT,9974,67859.56,1725,193,11414
48138,DOOR MAT UNION FLAG,10175,67757.63,1664,181,10986
21175,GIN + TONIC DIET METAL SIGN,20905,44391.43,1659,164,10849
21755,LOVE BUILDING BLOCK WORD,5774,35641.990000000005,1696,180,10588
21843,RETRO SPOT CAKE STAND,6290,66620.2,1527,181,10287
21733,RED HANGING HEART T-LIGHT HOLDER,17999,51556.97,1760,177,10224
21790,VINTAGE SNAP CARDS,27942,24095.6,1888,178,9621
22112,CHOCOLATE HOT WATER BOTTLE,11556,60763.12,1721,146,9457
21928,JUMBO BAG SCANDINAVIAN PAISLEY,24780,47095.72,1542,114,9413
85152,HAND OVER THE CHOCOLATE   SIGN ,16645,32064.760000000002,1460,139,9367
22355,"CHARLOTTE BAG , SUKI DESIGN",32692,46633.439999999995,1742,124,9338
21929,JUMBO BAG PINK VINTAGE PAISLEY,25954,50334.1,1619,116,9165
22326,"ROUND SNACK BOXES ,SET4, WOODLAND ",15690,45046.68,1391,149,9028
22111,SCOTTIE DOG HOT WATER BOTTLE,10218,52192.310000000005,1689,146,8970
22090,PAPER BUNTING RETRO SPOTS,16808,50753.100000000006,1703,160,8839
82486,WOOD S/3 CABINET ANT WHITE FINISH,4899,39382.5,1274,149,8808
20712,JUMBO BAG WOODLAND ANIMALS,17957,38029.89,1415,116,8738
22077,6 RIBBONS RUSTIC CHARM,17569,32213.589999999997,1751,175,8670
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",20237,21252.44,1584,118,8653
21166,COOK WITH WINE METAL SIGN ,20128,38560.16,1425,131,8623
22379,RECYCLING BAG RETROSPOT ,16075,35408.96,1570,134,8617
22178,VICTORIAN GLASS HANGING T-LIGHT,40748,53330.49,1816,158,8515
22629,SPACEBOY LUNCH BOX ,21223,38750.2,1368,140,8310
22385,JUMBO BAG SPACEBOY DESIGN,17227,32749.37,1248,95,8310
23203,JUMBO BAG DOILEY PATTERNS,20503,42067.78,1231,106,8288
20972,PINK CREAM FELT CRAFT TRINKET BOX ,20761,25151.84,1397,146,8257
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,19597,61721.990000000005,1427,149,8086
21930,JUMBO STORAGE BAG SKULLS,13657,27923.57,1321,102,8037
20719,WOODLAND CHARLOTTE BAG,24945,28287.32,1573,112,8027
23209,LUNCH BAG DOILEY PATTERN ,13189,21450.17,1098,112,7752
21231,SWEETHEART CERAMIC TRINKET BOX,19767,24618.13,1482,133,7682
22666,RECIPE BOX PANTRY YELLOW DESIGN,10951,34489.05,1657,152,7575
22149,FELTCRAFT 6 FLOWER FRIENDS,12922,26855.260000000002,1382,143,7491
48194,DOORMAT HEARTS,7847,49633.29,1349,122,7474
84992,72 SWEETHEART FAIRY CAKE CASES,35438,17585.16,1460,123,7314
22114,HOT WATER BOTTLE TEA AND SYMPATHY,12462,63517.75,1583,117,7274
22727,ALARM CLOCK BAKELIKE RED ,9595,37970.11,1363,116,7103
20723,STRAWBERRY CHARLOTTE BAG,18485,20677.62,1379,95,7032
20713,JUMBO BAG OWLS,21199,41390.09,1314,90,6999
84836,ZINC METAL HEART DECORATION,20251,24805.670000000002,1408,130,6959
21559,STRAWBERRY LUNCHBOX WITH CUTLERY,8341,20683.92,1221,116,6954
48187,DOOR MAT NEW ENGLAND,7425,47265.11,1282,111,6949
82600,NO SINGING METAL SIGN,12908,26212.86,1201,109,6945
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,7493,38158.39,1385,129,6895
21485,RED SPOT HEART HOT WATER BOTTLE,7927,38840.8,1385,116,6880
22630,DOLLY GIRL LUNCH BOX,18363,33980.0,1333,123,6785
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,10761,40308.03,1085,111,6764
21213,PACK OF 72 SKULL CAKE CASES,40733,21734.850000000002,1481,109,6750
23206,LUNCH BAG APPLE DESIGN,12183,20911.98,1036,92,6735
82483,WOOD 2 DRAWER CABINET WHITE FINISH,5103,30213.89,1123,110,6723
22551,PLASTERS IN TIN SPACEBOY,15779,26485.1,1299,116,6653
22328,"ROUND SNACK BOXES ,SET 4, FRUITS ",14636,40508.26,1159,112,6652
21731,RED TOADSTOOL LED NIGHT LIGHT,29715,49539.689999999995,1537,131,6637
DOT,DOTCOM POSTAGE,1436,322657.48,1415,122,6457
21535,RETRO SPOT SMALL MILK JUG,6811,16926.25,1111,108,6433
21975,PACK OF 60 DINOSAUR CAKE CASES,31575,15381.95,1303,98,6245
22352,LUNCHBOX WITH CUTLERY RETROSPOT ,7191,18115.87,1117,107,6242
82484,WOOD BLACK BOARD ANT WHITE FINISH,11054,62842.02,1176,116,6181
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,9388,34987.06,1019,92,6148
22189,CREAM HEART CARD HOLDER,18363,54598.73,1299,118,6144
20711,JUMBO BAG TOYS ,12838,26186.9,1052,82,6105
22554,PLASTERS IN TIN WOODLAND ANIMALS,13854,23329.359999999997,1275,107,6079
22699,ROSES REGENCY TEACUP AND SAUCER ,13339,39134.89,1424,95,6073
20718,RED SPOTTY SHOPPER BAG,13489,17740.0,1213,100,6064
22556,PLASTERS IN TIN CIRCUS PARADE ,13797,22694.129999999997,1196,106,5995
22865,HAND WARMER OWL DESIGN,15557,33575.51,1212,101,5892
22726,ALARM CLOCK BAKELIKE GREEN,7954,33737.59,1273,95,5865
84946,ANTIQUE SILVER TEA GLASS ETCHED,38064,51329.72,1769,109,5863
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,40839,25475.050000000003,1259,111,5809
22662,LUNCH BAG DOLLY GIRL DESIGN,10069,16421.11,994,83,5720
21936,RED/WHITE SPOT PICNIC BAG,7833,22847.59,1046,95,5712
47591D,PINK FAIRY CAKE CHILD'S APRON,9520,17698.87,1140,108,5613
23199,JUMBO BAG APPLES,14920,30475.65,978,65,5534
84970S,HANGING HEART ZINC T-LIGHT HOLDER,26844,22132.18,1425,99,5520
22367,CHILDS APRON SPACEBOY DESIGN,8170,16094.06,1156,100,5438
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,8865,32992.01,951,85,5404
21621,VINTAGE UNION JACK BUNTING,6945,60668.54,1292,108,5363
21524,SPOTTY  HOME SWEET HOME DOORMAT,5342,36667.33,1150,93,5296
23298,SPOTTY BUNTING,8473,43182.83,1146,104,5289
84978,HANGING HEART JAR T-LIGHT HOLDER,21903,28734.82,1425,105,5256
82580,BATHROOM METAL SIGN,13400,7558.360000000001,1336,94,5246
22147,FELTCRAFT BUTTERFLY HEARTS,13175,18425.55,1132,92,5245
22624,IVORY KITCHEN SCALES,3258,28227.77,1219,97,5223
20971,PINK BLUE FELT CRAFT TRINKET BOX,22629,29027.46,1148,90,5193
21210,SET OF 72 RETRO SPOT PAPER  DOILIES,15249,21957.26,1161,96,5189
22381,TOY TIDY PINK RETROSPOT  ,9449,19974.77,1100,76,5035
23202,JUMBO BAG VINTAGE LEAF,10962,21852.81,879,66,5031
21238,RED SPOTTY CUP,9589,8266.53,903,72,5004
20676,RED SPOTTY BOWL,10674,13346.66,966,74,4918
22029,SPACE BOY BIRTHDAY CARD,17895,7405.97,1101,90,4883
48185,DOOR MAT FAIRY CAKE,6862,46104.340000000004,983,82,4827
21523,FANCY FONT HOME SWEET HOME DOORMAT,7050,47225.46,1122,80,4782
21533,RETRO SPOT LARGE MILK JUG,3421,16992.57,954,81,4742
22697,GREEN REGENCY TEACUP AND SAUCER,10112,31534.920000000002,1353,71,4724
22952,72 CAKE CASES VINTAGE CHRISTMAS,33786,19812.43,1144,93,4722
82583,HOT BATHS METAL SIGN,13090,28496.81,1176,78,4682
21791,VINTAGE HEADS AND TAILS CARD GAME ,18585,23993.23,1313,83,4664
85150,LADIES & GENTLEMEN METAL SIGN,8519,20668.23,1110,73,4656
23201,JUMBO BAG ALPHABET,13379,27890.170000000002,906,58,4643
84378,SET OF 3 HEART COOKIE CUTTERS,11784,15596.13,1248,94,4634
22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,17706,15779.529999999999,1086,93,4588
22558,CLOTHES PEGS RETROSPOT PACK 24 ,14281,20163.07,1202,96,4438
22866,HAND WARMER SCOTTY DOG DESIGN,13772,30426.54,1083,69,4438
84029E,RED WOOLLY HOTTIE WHITE HEART.,11830,47737.380000000005,1145,73,4408
21094,SET/6 RED SPOTTY PAPER PLATES,20161,15723.97,984,72,4351
22083,PAPER CHAIN KIT RETRO SPOT,14008,41379.060000000005,1401,86,4336
22867,HAND WARMER BIRD DESIGN,13453,29541.020000000004,1054,73,4280
22417,PACK OF 60 SPACEBOY CAKE CASES,21641,11258.890000000001,1103,73,4280
