home_id,relative_compactness,surface_area,wall_area,roof_area,overall_height,orientation,glazing_area,glazing_distribution,wall_insul_rating,window_age,heating_load
H1000,0.684,528.9,280.7,152.7,7.0,3,0.0,0,3.87,3,85.36
H1001,0.85,686.1,330.1,132.3,3.5,2,0.1,5,2.69,16,76.87
H1002,0.788,788.2,352.3,180.9,3.5,5,0.25,1,2.97,20,86.43
H1003,0.753,733.6,249.4,132.7,3.5,2,0.1,5,1.91,15,85.13
H1004,0.748,692.6,298.0,141.0,7.0,5,0.25,4,2.72,15,100.71
H1005,0.905,657.5,311.1,155.2,7.0,4,0.4,4,4.96,11,83.25
H1006,0.946,594.4,284.0,193.1,3.5,4,0.1,5,3.6,9,59.31
H1007,0.684,680.2,367.6,169.7,3.5,2,0.1,2,4.54,5,89.02
H1008,0.855,731.9,283.5,172.2,3.5,2,0.25,3,4.46,19,79.01
H1009,0.727,679.6,345.9,163.5,3.5,2,0.0,1,3.86,4,77.72
H1010,0.968,740.1,386.6,214.5,3.5,3,0.25,2,1.47,27,82.17
H1011,0.951,799.3,403.6,219.7,3.5,2,0.0,5,3.97,8,68.62
H1012,0.849,702.6,275.0,165.1,3.5,4,0.4,0,2.81,29,76.22
H1013,0.891,722.8,283.9,169.3,3.5,3,0.4,0,4.18,26,69.53
H1014,0.805,764.5,291.5,110.8,3.5,2,0.1,1,3.14,9,83.43
H1015,0.917,677.2,303.4,193.9,3.5,4,0.1,3,1.43,29,72.48
H1016,0.781,599.1,293.1,187.0,7.0,5,0.25,3,2.81,2,91.59
H1017,0.742,748.1,365.3,118.4,3.5,2,0.25,2,1.55,3,94.79
H1018,0.72,757.3,325.7,124.3,3.5,4,0.4,1,4.12,6,83.99
H1019,0.701,803.1,253.7,116.3,7.0,2,0.4,0,2.85,27,101.75
H1020,0.809,520.3,279.5,157.3,7.0,5,0.4,5,4.65,29,80.27
H1021,0.775,663.6,287.7,172.4,7.0,2,0.25,1,1.6,9,101.35
H1022,0.859,532.1,377.0,118.7,3.5,2,0.25,2,2.55,22,78.07
H1023,0.625,660.4,267.4,214.5,3.5,5,0.1,3,1.65,6,89.23
H1024,0.781,654.8,261.2,115.8,7.0,2,0.4,4,1.33,7,99.62
H1025,0.751,578.8,353.6,127.1,7.0,2,0.1,4,1.81,2,96.98
H1026,0.69,808.8,259.5,196.8,3.5,2,0.25,3,1.12,11,92.64
H1027,0.834,733.1,365.2,182.0,3.5,2,0.1,3,1.85,5,88.34
H1028,0.777,627.9,275.6,203.4,3.5,3,0.4,3,3.29,12,73.38
H1029,0.728,748.5,353.1,209.8,7.0,5,0.25,4,2.77,3,104.04
H1030,0.695,586.8,304.5,218.2,3.5,5,0.25,2,1.1,28,83.41
H1031,0.935,597.9,258.2,176.9,7.0,4,0.25,1,1.69,8,84.47
H1032,0.907,743.0,364.5,173.2,7.0,4,0.0,3,1.14,5,93.31
H1033,0.838,719.1,245.5,111.6,3.5,2,0.25,0,3.82,29,72.53
