learner_id,age,prior_score,prior_courses,weekly_hours,videos_watched,assignments_done,quiz_avg,forum_posts,logins_per_week,support_tickets,days_since_signup,signup_hour,plan,device,region,email_verified,completed
L10000,32,39.6,4,7.57,17,6,59.6,2,4.7,1,27,11,free,mobile,South,yes,no
L10001,27,75.2,5,7.09,21,3,50.4,2,2.8,1,116,21,basic,desktop,South,yes,no
L10002,51,68.6,0,11.02,21,5,81.2,2,3.7,2,94,16,free,desktop,South,yes,no
L10003,30,63.4,1,9.0,17,9,51.3,4,4.6,2,67,9,basic,mobile,North,no,no
L10004,56,59.5,1,7.75,24,1,77.1,3,2.2,0,5,16,free,desktop,North,yes,yes
L10005,52,40.4,2,4.01,15,2,55.1,3,6.5,0,38,10,free,mobile,North,yes,no
L10006,47,68.2,0,6.01,14,0,40.1,5,3.5,0,28,14,basic,mobile,South,yes,no
L10007,36,68.4,5,2.26,19,7,89.2,2,3.9,1,56,16,free,tablet,West,yes,yes
L10008,19,65.4,2,0.27,22,5,57.4,3,8.3,3,31,14,free,desktop,North,yes,no
L10009,49,89.5,2,10.05,19,10,69.1,4,2.9,0,31,20,premium,desktop,East,yes,yes
L10010,51,58.3,3,2.71,20,7,72.6,6,5.8,1,33,23,premium,desktop,North,no,no
L10011,45,32.2,1,0.56,12,8,65.4,5,4.2,1,46,4,premium,desktop,North,no,yes
L10012,29,57.1,1,1.73,20,8,62.6,2,4.5,0,4,4,premium,desktop,North,yes,yes
L10013,21,48.5,0,10.24,20,5,40.5,0,4.6,0,105,5,basic,mobile,North,no,yes
L10014,55,58.3,3,1.21,17,4,62.9,2,1.3,0,47,20,basic,mobile,West,yes,yes
L10015,29,66.9,4,4.93,17,2,40.0,1,3.3,0,105,2,free,mobile,North,yes,no
L10016,47,67.4,5,3.02,16,8,48.8,3,3.2,0,54,8,basic,desktop,West,yes,no
L10017,38,50.2,1,0.35,18,0,79.9,3,0.4,0,22,16,free,desktop,South,yes,no
L10018,32,24.3,4,4.25,16,3,74.5,3,4.9,1,80,18,basic,desktop,South,yes,no
L10019,36,60.2,4,1.42,18,4,47.9,3,0.3,0,1,0,free,tablet,South,yes,no
L10020,19,56.2,2,8.9,27,8,39.8,4,0.0,1,68,22,free,desktop,South,yes,no
L10021,25,36.3,2,3.41,20,2,75.2,5,0.0,2,41,4,basic,desktop,North,yes,no
L10022,25,75.2,0,5.6,14,1,70.6,4,2.7,1,32,19,premium,desktop,East,yes,no
L10023,23,77.1,5,6.25,17,0,68.2,2,4.5,0,3,23,basic,desktop,East,yes,no
L10024,30,63.3,5,1.01,16,10,59.7,3,4.1,1,82,23,free,mobile,West,yes,yes
L10025,39,37.5,5,1.02,19,8,55.2,2,5.0,0,101,16,premium,desktop,West,no,yes
L10026,38,64.4,1,5.53,23,9,56.0,3,6.3,0,25,14,basic,mobile,South,yes,no
L10027,25,77.6,1,5.76,12,10,50.6,4,2.1,0,59,13,free,desktop,East,yes,yes
L10028,54,55.1,5,2.99,12,10,43.9,2,3.2,1,79,1,basic,mobile,North,yes,yes
L10029,33,69.4,2,6.39,22,2,56.1,4,4.4,0,69,19,free,mobile,East,no,no
L10030,59,50.2,0,6.58,17,0,41.5,2,4.3,0,103,14,basic,tablet,South,yes,no
L10031,53,67.0,4,13.29,18,0,63.2,1,2.9,2,22,16,premium,mobile,North,yes,no
L10032,27,59.1,0,4.93,13,7,65.8,1,3.7,1,22,15,basic,desktop,East,no,no
L10033,59,77.4,0,3.66,24,3,52.3,3,3.2,0,7,4,basic,tablet,South,no,no
L10034,40,71.7,0,4.81,22,2,33.4,4,8.7,1,87,1,basic,desktop,East,yes,no
L10035,35,86.0,1,9.59,18,10,69.0,4,2.6,0,113,20,basic,mobile,West,no,yes
L10036,40,55.1,3,0.81,18,9,66.3,5,4.0,0,56,8,basic,mobile,North,yes,no
L10037,34,22.2,1,1.95,13,1,62.0,5,3.9,1,86,9,premium,desktop,East,yes,no
L10038,59,96.8,3,2.46,11,2,67.9,5,1.2,0,86,15,free,mobile,South,no,no
L10039,52,72.9,4,3.64,16,0,73.9,0,2.6,0,88,0,free,mobile,South,yes,no
L10040,42,64.1,0,2.63,17,3,53.6,5,5.7,0,118,11,basic,tablet,West,yes,yes
L10041,25,80.6,5,3.07,16,2,57.1,4,3.2,0,13,9,free,mobile,West,yes,yes
L10042,44,37.2,0,1.49,21,1,83.7,2,0.7,0,28,7,free,desktop,East,yes,no
L10043,29,37.2,4,1.06,23,6,44.9,2,4.3,0,93,18,basic,desktop,West,yes,no
L10044,35,77.9,1,5.7,18,3,76.5,3,1.0,0,90,8,free,desktop,North,yes,yes
L10045,38,69.0,0,3.23,19,0,59.8,5,2.7,2,110,12,premium,desktop,North,yes,no
L10046,40,62.6,2,1.43,14,0,31.1,2,3.2,0,54,0,free,desktop,East,yes,yes
L10047,39,73.0,5,3.88,18,4,80.6,4,6.0,2,3,7,premium,mobile,East,no,yes
L10048,31,76.9,5,4.18,14,6,87.3,6,3.0,0,95,15,premium,mobile,North,no,yes
L10049,33,50.2,1,0.62,12,10,40.2,2,3.6,0,116,17,free,desktop,East,yes,yes
L10050,48,61.1,0,0.83,25,0,78.1,3,6.0,0,95,6,free,mobile,South,yes,yes
L10051,22,65.5,1,2.67,20,10,71.8,2,4.6,1,28,19,free,desktop,South,yes,yes
